ticker,direction,entry_time,exit_time,entry,exit,pnl,result,exit_reason
ASIANPAINT_NS_1h.csv,SHORT,2025-04-15 10:15:00+05:30,2025-04-15 12:15:00+05:30,2396.1695289706986,2412.9582985668785,-1118.3419874332217,LOSS,STOP LOSS
ASIANPAINT_NS_1h.csv,LONG,2025-04-24 11:15:00+05:30,2025-04-24 15:15:00+05:30,2456.9118870270086,2463.167702392578,337.8484065535945,WIN,TIME EXIT
ASIANPAINT_NS_1h.csv,LONG,2025-04-28 10:15:00+05:30,2025-04-28 11:15:00+05:30,2439.1376072763173,2422.079490496595,-1101.3574635530485,LOSS,STOP LOSS
ASIANPAINT_NS_1h.csv,SHORT,2025-05-13 10:15:00+05:30,2025-05-13 15:15:00+05:30,2341.651110730241,2325.762397705078,1024.8198205696806,WIN,TIME EXIT
ASIANPAINT_NS_1h.csv,SHORT,2025-05-15 10:15:00+05:30,2025-05-15 12:15:00+05:30,2291.6637153771067,2307.720264650529,-1103.539990482539,LOSS,STOP LOSS
ASIANPAINT_NS_1h.csv,LONG,2025-05-19 11:15:00+05:30,2025-05-19 15:15:00+05:30,2341.9928181089713,2329.8345,-821.860094174166,LOSS,TIME EXIT
ASIANPAINT_NS_1h.csv,LONG,2025-05-27 10:15:00+05:30,2025-05-27 15:15:00+05:30,2326.424653744815,2326.436297607422,511.5676816248358,WIN,TIME EXIT
ASIANPAINT_NS_1h.csv,LONG,2025-07-31 10:15:00+05:30,2025-07-31 11:15:00+05:30,2406.7579283973837,2389.9262590070825,-1087.2678879001328,LOSS,STOP LOSS
ASIANPAINT_NS_1h.csv,LONG,2025-08-13 10:15:00+05:30,2025-08-13 15:15:00+05:30,2488.3844642992376,2500.7490000000003,685.819001569996,WIN,TIME EXIT
ASIANPAINT_NS_1h.csv,LONG,2025-09-03 10:15:00+05:30,2025-09-03 15:15:00+05:30,2551.2183805586074,2552.622952392578,37.76386308933421,WIN,TIME EXIT
ASIANPAINT_NS_1h.csv,LONG,2025-09-05 11:15:00+05:30,2025-09-05 15:15:00+05:30,2572.0314775847,2578.71,343.6151705873997,WIN,TIME EXIT
ASIANPAINT_NS_1h.csv,SHORT,2025-09-08 11:15:00+05:30,2025-09-08 15:15:00+05:30,2569.6936344470873,2534.966801147461,1520.194876485901,WIN,TIME EXIT
ASIANPAINT_NS_1h.csv,LONG,2025-09-19 10:15:00+05:30,2025-09-19 15:15:00+05:30,2492.1661485824293,2493.7525,52.964463909316834,WIN,TIME EXIT
ASIANPAINT_NS_1h.csv,SHORT,2025-09-30 10:15:00+05:30,2025-09-30 15:15:00+05:30,2351.007345513862,2351.1749999999997,-54.491767112800495,LOSS,TIME EXIT
ASIANPAINT_NS_1h.csv,LONG,2025-10-13 10:15:00+05:30,2025-10-13 15:15:00+05:30,2345.0355106528905,2341.8285,-252.26116375037623,LOSS,TIME EXIT
ASIANPAINT_NS_1h.csv,LONG,2025-11-24 10:15:00+05:30,2025-11-24 15:15:00+05:30,2878.8476378095734,2877.7603511962893,-100.27999234732577,LOSS,TIME EXIT
ASIANPAINT_NS_1h.csv,LONG,2025-11-27 10:15:00+05:30,2025-11-27 15:15:00+05:30,2885.1044599158167,2874.262101196289,-607.5391941469857,LOSS,TIME EXIT
ASIANPAINT_NS_1h.csv,LONG,2026-01-02 10:15:00+05:30,2026-01-02 15:15:00+05:30,2772.581455540303,2771.213797607422,-117.5946670023564,LOSS,TIME EXIT
ASIANPAINT_NS_1h.csv,LONG,2026-01-06 11:15:00+05:30,2026-01-06 15:15:00+05:30,2816.914945735259,2843.677547607422,1224.1212227104656,WIN,TIME EXIT
ASIANPAINT_NS_1h.csv,LONG,2026-01-22 11:15:00+05:30,2026-01-22 15:15:00+05:30,2686.363028075668,2702.448148803711,967.702468310009,WIN,TIME EXIT
ASIANPAINT_NS_1h.csv,SHORT,2026-01-27 10:15:00+05:30,2026-01-27 13:15:00+05:30,2711.0216587898835,2645.890685721657,2347.8470026258087,WIN,TP2
ASIANPAINT_NS_1h.csv,SHORT,2026-02-03 11:15:00+05:30,2026-02-03 15:15:00+05:30,2423.358284842097,2427.2129999999997,-294.5007063886803,LOSS,TIME EXIT
ASIANPAINT_NS_1h.csv,LONG,2026-03-06 10:15:00+05:30,2026-03-06 15:15:00+05:30,2279.671178524504,2275.661648803711,395.1341148621351,WIN,TIME EXIT
ASIANPAINT_NS_1h.csv,SHORT,2026-03-16 11:15:00+05:30,2026-03-16 14:15:00+05:30,2200.6336759676633,2216.0524229739676,-1138.6645304983863,LOSS,STOP LOSS
ASIANPAINT_NS_1h.csv,LONG,2026-03-17 11:15:00+05:30,2026-03-17 15:15:00+05:30,2221.1270767196215,2239.8795,1193.6710290841688,WIN,TIME EXIT
AXISBANK_NS_1h.csv,SHORT,2025-04-23 10:15:00+05:30,2025-04-23 15:15:00+05:30,1212.6020137447988,1206.6029999999998,905.9440011952379,WIN,TIME EXIT
AXISBANK_NS_1h.csv,LONG,2025-04-24 11:15:00+05:30,2025-04-24 14:15:00+05:30,1209.8943708732345,1201.4329706603412,-1126.903812756455,LOSS,STOP LOSS
AXISBANK_NS_1h.csv,LONG,2025-04-28 11:15:00+05:30,2025-04-28 15:15:00+05:30,1178.8650110965987,1192.203648803711,1395.5019637700748,WIN,TIME EXIT
AXISBANK_NS_1h.csv,SHORT,2025-04-30 10:15:00+05:30,2025-04-30 15:15:00+05:30,1187.8137174183873,1185.5925,244.9050887653579,WIN,TIME EXIT
AXISBANK_NS_1h.csv,LONG,2025-05-02 11:15:00+05:30,2025-05-02 12:15:00+05:30,1192.8898560990876,1184.5473770155043,-1128.3720598411403,LOSS,STOP LOSS
AXISBANK_NS_1h.csv,SHORT,2025-05-15 10:15:00+05:30,2025-05-15 12:15:00+05:30,1193.332137073108,1201.6932225717803,-1122.455489971522,LOSS,STOP LOSS
AXISBANK_NS_1h.csv,SHORT,2025-05-27 11:15:00+05:30,2025-05-27 15:15:00+05:30,1208.7742553527385,1196.1977755737305,1318.4154889977171,WIN,TIME EXIT
AXISBANK_NS_1h.csv,SHORT,2025-05-30 10:15:00+05:30,2025-05-30 15:15:00+05:30,1197.3085690564237,1193.5964999999999,435.00755956617576,WIN,TIME EXIT
AXISBANK_NS_1h.csv,SHORT,2025-06-03 10:15:00+05:30,2025-06-03 15:15:00+05:30,1191.3139390909023,1181.290301147461,1187.8382665214885,WIN,TIME EXIT
AXISBANK_NS_1h.csv,LONG,2025-06-18 10:15:00+05:30,2025-06-18 15:15:00+05:30,1218.4297151150004,1220.3895,206.9472188799533,WIN,TIME EXIT
AXISBANK_NS_1h.csv,SHORT,2025-06-27 10:15:00+05:30,2025-06-27 15:15:00+05:30,1225.493899247386,1224.6119999999999,68.9643452654301,WIN,TIME EXIT
AXISBANK_NS_1h.csv,LONG,2025-07-03 10:15:00+05:30,2025-07-03 15:15:00+05:30,1177.536914010761,1169.3018057775446,-1139.157323521985,LOSS,STOP LOSS
AXISBANK_NS_1h.csv,LONG,2025-07-22 10:15:00+05:30,2025-07-22 15:15:00+05:30,1103.7749104866866,1097.451,-935.5398933978106,LOSS,TIME EXIT
AXISBANK_NS_1h.csv,LONG,2025-08-11 10:15:00+05:30,2025-08-11 15:15:00+05:30,1063.900305615413,1071.4640000000002,1080.4197382681466,WIN,TIME EXIT
AXISBANK_NS_1h.csv,LONG,2025-09-03 10:15:00+05:30,2025-09-03 12:15:00+05:30,1057.8977293873368,1050.4993181804173,-1131.4270324114782,LOSS,STOP LOSS
AXISBANK_NS_1h.csv,SHORT,2025-10-28 10:15:00+05:30,2025-10-28 15:15:00+05:30,1248.4262289880576,1246.923198852539,619.2461669978553,WIN,TIME EXIT
AXISBANK_NS_1h.csv,LONG,2025-11-06 10:15:00+05:30,2025-11-06 15:15:00+05:30,1230.2284794277316,1227.8857500000001,-339.05174800666344,LOSS,TIME EXIT
AXISBANK_NS_1h.csv,LONG,2025-11-24 11:15:00+05:30,2025-11-24 14:15:00+05:30,1281.0651674607298,1272.1060340507122,-1118.912327304259,LOSS,STOP LOSS
AXISBANK_NS_1h.csv,SHORT,2026-01-07 10:15:00+05:30,2026-01-07 15:15:00+05:30,1289.0789698438678,1296.1477499999999,-877.9396942860885,LOSS,TIME EXIT
AXISBANK_NS_1h.csv,SHORT,2026-01-13 10:15:00+05:30,2026-01-13 15:15:00+05:30,1271.6998766627535,1262.6309999999999,1061.2583362688333,WIN,TIME EXIT
AXISBANK_NS_1h.csv,LONG,2026-01-16 11:15:00+05:30,2026-01-16 15:15:00+05:30,1292.5298828882019,1293.0531011962892,17.925253705769997,WIN,TIME EXIT
AXISBANK_NS_1h.csv,SHORT,2026-01-23 10:15:00+05:30,2026-01-23 15:15:00+05:30,1287.405305882556,1256.476021332776,2349.3920321267397,WIN,TP2
AXISBANK_NS_1h.csv,SHORT,2026-02-03 10:15:00+05:30,2026-02-03 11:15:00+05:30,1354.294612701786,1363.7834823093403,-1135.1408823803847,LOSS,STOP LOSS
AXISBANK_NS_1h.csv,SHORT,2026-02-04 10:15:00+05:30,2026-02-04 15:15:00+05:30,1354.2340546120033,1340.469948852539,1318.9167132939822,WIN,TIME EXIT
AXISBANK_NS_1h.csv,SHORT,2026-02-09 10:15:00+05:30,2026-02-09 12:15:00+05:30,1337.1411170841955,1346.5098006689284,-1140.07452058071,LOSS,STOP LOSS
AXISBANK_NS_1h.csv,LONG,2026-02-20 10:15:00+05:30,2026-02-20 15:15:00+05:30,1364.858226175851,1367.615898803711,684.1195529221732,WIN,TIME EXIT
AXISBANK_NS_1h.csv,SHORT,2026-03-24 11:15:00+05:30,2026-03-24 12:15:00+05:30,1179.2254209832786,1187.4876677297977,-1134.5352798440385,LOSS,STOP LOSS
BAJFINANCE_NS_1h.csv,SHORT,2025-04-17 11:15:00+05:30,2025-04-17 12:15:00+05:30,4519.018118886881,4550.680634031018,-1120.3935934395743,LOSS,STOP LOSS
BAJFINANCE_NS_1h.csv,SHORT,2025-04-23 11:15:00+05:30,2025-04-23 13:15:00+05:30,4617.629323875117,4649.98275874765,-9.662345472007246,LOSS,SL_after_TP1
BAJFINANCE_NS_1h.csv,LONG,2025-05-07 10:15:00+05:30,2025-05-07 15:15:00+05:30,4419.664055136196,4483.7570000000005,1606.2170870402265,WIN,TIME EXIT
BAJFINANCE_NS_1h.csv,LONG,2025-05-08 11:15:00+05:30,2025-05-08 13:15:00+05:30,4472.807584185368,4441.526989816009,-1107.315506499559,LOSS,STOP LOSS
BAJFINANCE_NS_1h.csv,SHORT,2025-05-15 10:15:00+05:30,2025-05-15 12:15:00+05:30,4528.353072241234,4560.080992766402,-1090.7834441495754,LOSS,STOP LOSS
BAJFINANCE_NS_1h.csv,SHORT,2025-05-20 10:15:00+05:30,2025-05-20 15:15:00+05:30,4609.880890228729,4545.021374999999,1544.7970614329397,WIN,TIME EXIT
BAJFINANCE_NS_1h.csv,SHORT,2025-05-27 10:15:00+05:30,2025-05-27 15:15:00+05:30,4622.019429606657,4589.2935,1064.8037480753587,WIN,TIME EXIT
BAJFINANCE_NS_1h.csv,SHORT,2025-05-28 10:15:00+05:30,2025-05-28 12:15:00+05:30,4600.230283137367,4632.461811574397,-1107.4622194165302,LOSS,STOP LOSS
BAJFINANCE_NS_1h.csv,SHORT,2025-05-29 10:15:00+05:30,2025-05-29 15:15:00+05:30,4614.371963493442,4604.3009999999995,288.54324695861345,WIN,TIME EXIT
BAJFINANCE_NS_1h.csv,SHORT,2025-06-02 11:15:00+05:30,2025-06-02 15:15:00+05:30,4570.976606709467,4561.529625,267.9871344717812,WIN,TIME EXIT
BAJFINANCE_NS_1h.csv,LONG,2025-06-06 10:15:00+05:30,2025-06-06 11:15:00+05:30,4513.076117755464,4621.279429474264,2368.68540837109,WIN,TP2
BAJFINANCE_NS_1h.csv,LONG,2025-06-11 10:15:00+05:30,2025-06-11 11:15:00+05:30,4762.825509772,4729.516674097963,-1143.0934284993602,LOSS,STOP LOSS
BAJFINANCE_NS_1h.csv,LONG,2025-06-25 10:15:00+05:30,2025-06-25 15:15:00+05:30,920.6588189482803,927.03625,1076.1885576499749,WIN,TIME EXIT
BAJFINANCE_NS_1h.csv,SHORT,2025-06-27 10:15:00+05:30,2025-06-27 15:15:00+05:30,942.435468349299,949.0386455227357,-1146.692824308992,LOSS,STOP LOSS
BAJFINANCE_NS_1h.csv,SHORT,2025-06-30 10:15:00+05:30,2025-06-30 15:15:00+05:30,941.7196779638343,936.9682499999999,740.120620001431,WIN,TIME EXIT
BAJFINANCE_NS_1h.csv,SHORT,2025-07-02 10:15:00+05:30,2025-07-02 15:15:00+05:30,933.014883641956,923.1613622131347,1371.4660289046578,WIN,TIME EXIT
BAJFINANCE_NS_1h.csv,SHORT,2025-07-07 10:15:00+05:30,2025-07-07 15:15:00+05:30,922.5968151903023,924.1118494262694,-304.5595695388656,LOSS,TIME EXIT
BAJFINANCE_NS_1h.csv,LONG,2025-07-18 11:15:00+05:30,2025-07-18 15:15:00+05:30,925.5157571092809,939.5799627990723,1754.2015182343687,WIN,TIME EXIT
BAJFINANCE_NS_1h.csv,SHORT,2025-07-24 10:15:00+05:30,2025-07-24 15:15:00+05:30,961.3272047826242,957.3284005737305,627.7783278117347,WIN,TIME EXIT
BAJFINANCE_NS_1h.csv,LONG,2025-08-01 11:15:00+05:30,2025-08-01 14:15:00+05:30,884.4189789685112,878.2337919661697,-1175.9071410267254,LOSS,STOP LOSS
BAJFINANCE_NS_1h.csv,SHORT,2025-08-04 10:15:00+05:30,2025-08-04 15:15:00+05:30,880.406205700455,886.192875,-1097.2059900984393,LOSS,TIME EXIT
BAJFINANCE_NS_1h.csv,SHORT,2025-08-06 10:15:00+05:30,2025-08-06 15:15:00+05:30,884.5229763728983,877.3384744262695,1193.1286967999035,WIN,TIME EXIT
BAJFINANCE_NS_1h.csv,LONG,2025-08-08 10:15:00+05:30,2025-08-08 15:15:00+05:30,879.042881631791,877.561,-315.1991801927526,LOSS,TIME EXIT
BAJFINANCE_NS_1h.csv,SHORT,2025-08-19 11:15:00+05:30,2025-08-19 14:15:00+05:30,895.808513048819,902.0849983083295,-1167.5276918198158,LOSS,STOP LOSS
BAJFINANCE_NS_1h.csv,LONG,2025-08-21 10:15:00+05:30,2025-08-21 15:15:00+05:30,891.8691040967906,894.9023005981446,813.1946033326885,WIN,TIME EXIT
BAJFINANCE_NS_1h.csv,LONG,2025-08-22 10:15:00+05:30,2025-08-22 15:15:00+05:30,896.8070756016158,894.6024627990723,-436.4020598121927,LOSS,TIME EXIT
BAJFINANCE_NS_1h.csv,SHORT,2025-09-18 11:15:00+05:30,2025-09-18 15:15:00+05:30,1002.9970868477974,994.747125,1202.3853137141705,WIN,TIME EXIT
BAJFINANCE_NS_1h.csv,LONG,2025-09-30 11:15:00+05:30,2025-09-30 15:15:00+05:30,994.6776227927037,998.4005744018555,559.0746383562605,WIN,TIME EXIT
BAJFINANCE_NS_1h.csv,LONG,2025-10-31 10:15:00+05:30,2025-10-31 11:15:00+05:30,1057.3565887599755,1049.9619620217914,-1175.393995446903,LOSS,STOP LOSS
BAJFINANCE_NS_1h.csv,LONG,2025-12-22 11:15:00+05:30,2025-12-22 15:15:00+05:30,1007.6352627802133,1006.99625,-144.94165446120243,LOSS,TIME EXIT
BAJFINANCE_NS_1h.csv,LONG,2025-12-23 11:15:00+05:30,2025-12-23 15:15:00+05:30,1009.6364033456508,1011.494,249.50487008717496,WIN,TIME EXIT
BAJFINANCE_NS_1h.csv,SHORT,2026-01-05 10:15:00+05:30,2026-01-05 15:15:00+05:30,985.2778222553707,978.3389005737305,1117.2310427711027,WIN,TIME EXIT
BAJFINANCE_NS_1h.csv,LONG,2026-01-09 11:15:00+05:30,2026-01-09 12:15:00+05:30,972.3447319579848,965.5446359164955,-1172.822953126272,LOSS,STOP LOSS
BAJFINANCE_NS_1h.csv,SHORT,2026-01-13 11:15:00+05:30,2026-01-13 15:15:00+05:30,949.9534304298203,949.4744999999999,595.3046449350006,WIN,TIME EXIT
BAJFINANCE_NS_1h.csv,LONG,2026-01-16 11:15:00+05:30,2026-01-16 15:15:00+05:30,951.8559283356,950.5245000000001,-269.0273547288775,LOSS,TIME EXIT
BAJFINANCE_NS_1h.csv,LONG,2026-01-19 11:15:00+05:30,2026-01-19 15:15:00+05:30,957.5743204344911,967.01625,1344.2426215108617,WIN,TIME EXIT
BAJFINANCE_NS_1h.csv,LONG,2026-01-23 10:15:00+05:30,2026-01-23 11:15:00+05:30,942.2332523605965,935.643741049485,-1177.41921359768,LOSS,STOP LOSS
BAJFINANCE_NS_1h.csv,LONG,2026-01-28 10:15:00+05:30,2026-01-28 15:15:00+05:30,922.6722251020964,935.1321755981447,1641.4568246855047,WIN,TIME EXIT
BAJFINANCE_NS_1h.csv,SHORT,2026-02-05 10:15:00+05:30,2026-02-05 13:15:00+05:30,961.5720844541302,968.3093423905304,-1182.687698223248,LOSS,STOP LOSS
BAJFINANCE_NS_1h.csv,LONG,2026-02-06 10:15:00+05:30,2026-02-06 15:15:00+05:30,966.8456906326695,981.509,1788.938350383179,WIN,TIME EXIT
BAJFINANCE_NS_1h.csv,SHORT,2026-02-09 10:15:00+05:30,2026-02-09 12:15:00+05:30,974.8732534268044,981.7037060468622,-1191.6391957351118,LOSS,STOP LOSS
BAJFINANCE_NS_1h.csv,LONG,2026-02-16 11:15:00+05:30,2026-02-16 13:15:00+05:30,1015.0454388599119,1007.9467152859961,-1179.8275586876682,LOSS,STOP LOSS
BAJFINANCE_NS_1h.csv,SHORT,2026-02-17 10:15:00+05:30,2026-02-17 15:15:00+05:30,1011.0774123030222,1014.6570994262694,-609.5984610157819,LOSS,TIME EXIT
BAJFINANCE_NS_1h.csv,LONG,2026-02-25 11:15:00+05:30,2026-02-25 12:15:00+05:30,1025.7464492515662,1018.5728881267155,-1155.8489442933528,LOSS,STOP LOSS
BAJFINANCE_NS_1h.csv,SHORT,2026-03-10 10:15:00+05:30,2026-03-10 11:15:00+05:30,937.8885503041689,944.4598694815376,-1147.9483532497557,LOSS,STOP LOSS
BAJFINANCE_NS_1h.csv,LONG,2026-03-16 10:15:00+05:30,2026-03-16 15:15:00+05:30,863.0528913677514,873.5630000000001,1493.2133185252892,WIN,TIME EXIT
BAJFINANCE_NS_1h.csv,SHORT,2026-03-18 11:15:00+05:30,2026-03-18 12:15:00+05:30,866.1184357208106,872.1868973569814,-1154.5187344746662,LOSS,STOP LOSS
BHARTIARTL_NS_1h.csv,SHORT,2025-04-23 11:15:00+05:30,2025-04-23 14:15:00+05:30,1853.8944139104365,1866.8837311496707,-1108.951125266061,LOSS,STOP LOSS
BHARTIARTL_NS_1h.csv,SHORT,2025-04-24 10:15:00+05:30,2025-04-24 15:15:00+05:30,1860.4403052694995,1846.52277557373,1082.8542545435216,WIN,TIME EXIT
BHARTIARTL_NS_1h.csv,SHORT,2025-04-28 10:15:00+05:30,2025-04-28 15:15:00+05:30,1824.1096403029128,1822.7109488525389,73.66238883881871,WIN,TIME EXIT
BHARTIARTL_NS_1h.csv,LONG,2025-04-29 10:15:00+05:30,2025-04-29 15:15:00+05:30,1826.946739346557,1822.8881488037111,-384.7496707115415,LOSS,TIME EXIT
BHARTIARTL_NS_1h.csv,LONG,2025-05-02 10:15:00+05:30,2025-05-02 11:15:00+05:30,1849.1012409334473,1836.1695453984037,-1104.1631814416478,LOSS,STOP LOSS
BHARTIARTL_NS_1h.csv,LONG,2025-05-14 10:15:00+05:30,2025-05-14 11:15:00+05:30,1838.639520020764,1825.780988564907,-1098.1424304068337,LOSS,STOP LOSS
BHARTIARTL_NS_1h.csv,LONG,2025-05-21 11:15:00+05:30,2025-05-21 15:15:00+05:30,1814.94490528773,1820.0895,378.125582931137,WIN,TIME EXIT
BHARTIARTL_NS_1h.csv,SHORT,2025-06-02 11:15:00+05:30,2025-06-02 15:15:00+05:30,1853.4888160417693,1855.02702557373,-168.3514018156095,LOSS,TIME EXIT
BHARTIARTL_NS_1h.csv,SHORT,2025-06-03 10:15:00+05:30,2025-06-03 15:15:00+05:30,1848.9877216292073,1842.6208011474607,769.6259145667001,WIN,TIME EXIT
BHARTIARTL_NS_1h.csv,SHORT,2025-06-09 11:15:00+05:30,2025-06-09 15:15:00+05:30,1869.5109545089908,1866.03252557373,234.54224976971722,WIN,TIME EXIT
BHARTIARTL_NS_1h.csv,LONG,2025-06-10 10:15:00+05:30,2025-06-10 12:15:00+05:30,1867.8586114654397,1854.7957361986496,-1101.8488579758016,LOSS,STOP LOSS
BHARTIARTL_NS_1h.csv,LONG,2025-07-01 11:15:00+05:30,2025-07-01 15:15:00+05:30,2015.2326707403802,2018.3903244018557,189.932348849042,WIN,TIME EXIT
BHARTIARTL_NS_1h.csv,LONG,2025-07-21 10:15:00+05:30,2025-07-21 15:15:00+05:30,1910.0497456642142,1906.346398803711,-332.57843059691595,LOSS,TIME EXIT
BHARTIARTL_NS_1h.csv,LONG,2025-07-25 10:15:00+05:30,2025-07-25 15:15:00+05:30,1941.6534627802139,1928.0745029810405,-1089.2914479545896,LOSS,STOP LOSS
BHARTIARTL_NS_1h.csv,LONG,2025-08-06 11:15:00+05:30,2025-08-06 15:15:00+05:30,1930.492087333752,1922.0385,-686.1245105151356,LOSS,TIME EXIT
BHARTIARTL_NS_1h.csv,SHORT,2025-08-07 11:15:00+05:30,2025-08-07 15:15:00+05:30,1921.5737422846846,1923.5612755737302,-194.70729639105468,LOSS,TIME EXIT
BHARTIARTL_NS_1h.csv,SHORT,2025-08-25 11:15:00+05:30,2025-08-25 15:15:00+05:30,1926.418005598447,1931.665301147461,-442.4646257972343,LOSS,TIME EXIT
BHARTIARTL_NS_1h.csv,LONG,2025-09-02 10:15:00+05:30,2025-09-02 13:15:00+05:30,1899.2198221688325,1885.9376221731154,-1066.3598295928973,LOSS,STOP LOSS
BHARTIARTL_NS_1h.csv,SHORT,2025-09-04 10:15:00+05:30,2025-09-04 15:15:00+05:30,1882.4282764650277,1881.3402244262695,39.11740851921164,WIN,TIME EXIT
BHARTIARTL_NS_1h.csv,SHORT,2025-09-18 10:15:00+05:30,2025-09-18 13:15:00+05:30,1934.916507572677,1948.473506374609,-1046.8225873297754,LOSS,STOP LOSS
BHARTIARTL_NS_1h.csv,LONG,2025-09-19 10:15:00+05:30,2025-09-19 15:15:00+05:30,1939.2919101867465,1961.4188244018555,1293.0451461263633,WIN,TIME EXIT
BHARTIARTL_NS_1h.csv,LONG,2025-10-13 11:15:00+05:30,2025-10-13 15:15:00+05:30,1948.150225946324,1954.0225,390.93333834701934,WIN,TIME EXIT
BHARTIARTL_NS_1h.csv,SHORT,2025-10-14 10:15:00+05:30,2025-10-14 15:15:00+05:30,1949.319394422752,1947.5732755737301,85.60978426781426,WIN,TIME EXIT
BHARTIARTL_NS_1h.csv,LONG,2025-10-16 11:15:00+05:30,2025-10-16 15:15:00+05:30,1970.420189220429,1966.4163244018555,-335.87084154789505,LOSS,TIME EXIT
BHARTIARTL_NS_1h.csv,LONG,2025-10-29 10:15:00+05:30,2025-10-29 15:15:00+05:30,2087.9380748259346,2098.9500000000003,869.107913382899,WIN,TIME EXIT
BHARTIARTL_NS_1h.csv,SHORT,2025-11-06 11:15:00+05:30,2025-11-06 13:15:00+05:30,2098.0092728576383,2112.7089816498565,-1057.9243296564011,LOSS,STOP LOSS
BHARTIARTL_NS_1h.csv,LONG,2025-12-02 10:15:00+05:30,2025-12-02 15:15:00+05:30,2100.5754144029383,2102.9480000000003,120.08082089727597,WIN,TIME EXIT
BHARTIARTL_NS_1h.csv,LONG,2025-12-10 10:15:00+05:30,2025-12-10 12:15:00+05:30,2089.5034401099506,2074.890491014049,-1051.8726737142035,LOSS,STOP LOSS
BHARTIARTL_NS_1h.csv,SHORT,2025-12-23 10:15:00+05:30,2025-12-23 15:15:00+05:30,2129.848745799463,2123.9613522949217,350.8977295391698,WIN,TIME EXIT
BHARTIARTL_NS_1h.csv,LONG,2025-12-30 10:15:00+05:30,2025-12-30 15:15:00+05:30,2095.8238139028294,2098.750148803711,155.42289800697955,WIN,TIME EXIT
BHARTIARTL_NS_1h.csv,SHORT,2026-01-13 10:15:00+05:30,2026-01-13 15:15:00+05:30,2027.8639506437091,2027.9134744262694,-47.11573497888792,LOSS,TIME EXIT
BHARTIARTL_NS_1h.csv,SHORT,2026-01-19 10:15:00+05:30,2026-01-19 15:15:00+05:30,2013.7170911666137,2008.0034999999998,362.1007666170886,WIN,TIME EXIT
BHARTIARTL_NS_1h.csv,LONG,2026-01-22 11:15:00+05:30,2026-01-22 15:15:00+05:30,2002.171351436829,2001.198851196289,-113.62217525102108,LOSS,TIME EXIT
BHARTIARTL_NS_1h.csv,SHORT,2026-01-29 11:15:00+05:30,2026-01-29 15:15:00+05:30,1957.4999179113101,1968.0835255737302,-816.1951117908346,LOSS,TIME EXIT
BHARTIARTL_NS_1h.csv,SHORT,2026-02-05 10:15:00+05:30,2026-02-05 15:15:00+05:30,2014.2283643970943,1993.3962244262693,1230.9981218516941,WIN,TIME EXIT
BHARTIARTL_NS_1h.csv,LONG,2026-02-25 10:15:00+05:30,2026-02-25 11:15:00+05:30,1953.5897790447962,1939.927342579053,-1054.609164048769,LOSS,STOP LOSS
BHARTIARTL_NS_1h.csv,LONG,2026-03-13 10:15:00+05:30,2026-03-13 12:15:00+05:30,1809.8787056965084,1797.2213130890536,-1043.4835280822774,LOSS,STOP LOSS
BHARTIARTL_NS_1h.csv,LONG,2026-03-20 10:15:00+05:30,2026-03-20 15:15:00+05:30,1845.3221252526412,1843.9775744018555,-145.68942205107737,LOSS,TIME EXIT
BHARTIARTL_NS_1h.csv,LONG,2026-03-27 11:15:00+05:30,2026-03-27 14:15:00+05:30,1831.5204538561811,1818.7117096126715,-1029.7743267912465,LOSS,STOP LOSS
